G,237922
P,216374
T,199051
F,143217
D,185213
L,367068
A,252917
R,203573
N,136564
V,232915
I,171202
S,295093
E,258210
Y,105904
C,79153
M,78378
H,93094
K,210687
W,46366
Q,169741
X,33
U,21
Z,2
